candidate,timeframe,family,in_target_window,trades_per_day,total_trades,sample_status,win_rate,net_pnl,profit_factor,ci_lower,ci_upper,expectancy_usd,expectancy_r,max_drawdown,ret_to_dd,score,verdict
V31-MTF-CONFLUENCE-30M,30m,mtf_confluence,NO,3.31,298,SUFFICIENT SAMPLE (>=100 trades),33.9,62.76,1.081,0.839,1.361,0.21,0.002,10.3,0.002,15.16,PROFITABLE_BUT_NOT_ROBUST
V31-TREND-CONT-30M,30m,trend_cont,NO,5.54,499,SUFFICIENT SAMPLE (>=100 trades),41.1,60.93,1.059,0.882,1.26,0.12,0.028,10.7,0.001,15.12,PROFITABLE_BUT_NOT_ROBUST
V31-VOL-COMP-EXP-4H,4h,vol_comp_exp,NO,4.13,372,SUFFICIENT SAMPLE (>=100 trades),36.3,26.28,1.022,0.831,1.252,0.07,0.031,12.1,0.001,15.04,PROFITABLE_BUT_NOT_ROBUST
V31-LIQUIDITY-REVERSAL-1H,1h,liquidity_reversal,YES,1.32,119,SUFFICIENT SAMPLE (>=100 trades),32.8,-75.53,0.646,0.416,0.957,-0.63,-0.137,7.7,-0.008,7.29,FREQUENCY_EDGE_FOUND_BUT_UNPROFITABLE
V31-BREAKOUT-VOL-1H,1h,breakout_vol,NO,1.99,179,SUFFICIENT SAMPLE (>=100 trades),33.5,-13.26,0.975,0.701,1.328,-0.07,-0.04,7.9,-0.001,4.95,NO_ROBUST_PROFITABLE_EDGE_FOUND
V31-REGIME-MOM-30M,30m,regime_mom,NO,6.06,545,SUFFICIENT SAMPLE (>=100 trades),37.4,-70.71,0.939,0.784,1.124,-0.13,-0.023,13.8,-0.001,4.88,NO_ROBUST_PROFITABLE_EDGE_FOUND
V31-PULLBACK-CONT-30M,30m,pullback_cont,NO,4.67,420,SUFFICIENT SAMPLE (>=100 trades),39.5,-90.97,0.9,0.731,1.077,-0.22,-0.033,13.7,-0.002,4.8,NO_ROBUST_PROFITABLE_EDGE_FOUND
V31-BREAKOUT-VOL-30M,30m,breakout_vol,NO,2.0,180,SUFFICIENT SAMPLE (>=100 trades),34.4,-41.28,0.894,0.64,1.225,-0.23,-0.081,8.1,-0.003,4.79,NO_ROBUST_PROFITABLE_EDGE_FOUND
V31-MEAN-REVERSION-30M,30m,mean_reversion,NO,1.96,176,SUFFICIENT SAMPLE (>=100 trades),36.9,-117.48,0.629,0.47,0.865,-0.67,-0.13,11.7,-0.006,4.26,NO_ROBUST_PROFITABLE_EDGE_FOUND
V31-LIQUIDITY-REVERSAL-15M,15m,liquidity_reversal,NO,1.62,146,SUFFICIENT SAMPLE (>=100 trades),37.7,-52.1,0.619,0.414,0.869,-0.36,-0.071,5.2,-0.007,4.24,NO_ROBUST_PROFITABLE_EDGE_FOUND
V31-MEAN-REVERSION-15M,15m,mean_reversion,NO,2.13,192,SUFFICIENT SAMPLE (>=100 trades),39.1,-101.99,0.587,0.438,0.763,-0.53,-0.107,10.4,-0.005,4.17,NO_ROBUST_PROFITABLE_EDGE_FOUND
V31-ADAPTIVE-HYBRID-4H,4h,adaptive_hybrid,NO,4.79,431,SUFFICIENT SAMPLE (>=100 trades),32.7,-15.77,0.989,0.802,1.197,-0.04,-0.01,15.9,-0.0,1.98,NO_ROBUST_PROFITABLE_EDGE_FOUND
V31-REGIME-MOM-1H,1h,regime_mom,NO,5.14,463,SUFFICIENT SAMPLE (>=100 trades),35.2,-116.39,0.917,0.74,1.112,-0.25,-0.059,23.8,-0.001,1.83,NO_ROBUST_PROFITABLE_EDGE_FOUND
V31-TREND-CONT-1H,1h,trend_cont,NO,4.56,410,SUFFICIENT SAMPLE (>=100 trades),33.2,-173.18,0.865,0.701,1.066,-0.42,-0.097,21.3,-0.002,1.73,NO_ROBUST_PROFITABLE_EDGE_FOUND
V31-VOL-COMP-EXP-1H,1h,vol_comp_exp,NO,3.42,308,SUFFICIENT SAMPLE (>=100 trades),32.8,-146.76,0.846,0.66,1.054,-0.48,-0.109,17.6,-0.003,1.69,NO_ROBUST_PROFITABLE_EDGE_FOUND
V31-ADAPTIVE-HYBRID-1H,1h,adaptive_hybrid,NO,4.73,426,SUFFICIENT SAMPLE (>=100 trades),30.3,-261.37,0.813,0.656,0.989,-0.61,-0.111,27.5,-0.002,1.63,NO_ROBUST_PROFITABLE_EDGE_FOUND
V31-PULLBACK-CONT-15M,15m,pullback_cont,NO,4.84,436,SUFFICIENT SAMPLE (>=100 trades),36.7,-192.17,0.733,0.596,0.887,-0.44,-0.09,20.4,-0.002,1.47,NO_ROBUST_PROFITABLE_EDGE_FOUND
V31-MTF-CONFLUENCE-1H,1h,mtf_confluence,NO,2.41,217,SUFFICIENT SAMPLE (>=100 trades),21.7,-306.2,0.605,0.419,0.817,-1.41,-0.347,32.8,-0.004,1.21,NO_ROBUST_PROFITABLE_EDGE_FOUND
